n_ocupacao,media_DP,var_DP,DP_DP
0,36.63344448169872,11.711003353038784,3.4221343271471363
10,628.6280667970501,3253.338453018895,57.03804390947234
20,862.9410264261065,6905.022050978841,83.09646232529302
30,1026.0767124336257,9763.212860954887,98.80897156106265
40,1149.9149382630046,11618.29141498097,107.78817845654953
50,1246.0102288548526,14083.464908448916,118.67377515040513
60,1321.471707468201,15393.264608063975,124.06959582453702
70,1377.9522095955078,16563.84882141872,128.70061702034968
80,1417.0232475621453,17789.212657680015,133.37620723982226
90,1443.0284466744204,18641.73291300945,136.53473152648542
100,1453.452778101801,18407.553749066465,135.67444029391262
