n_ocupacao,media_MAE,var_MAE,DP_MAE
0,29.21448830878567,8.488881316624004,2.913568484972338
10,321.72882621268764,1074.2747645190207,32.77613101815131
20,511.7450583842636,2682.1496988103627,51.789474787937
30,660.7814122905279,4429.214547548769,66.55234441812526
40,777.8543524837761,6108.695290341504,78.15814282812447
50,870.7793785050035,7610.013877015346,87.23539348805247
60,943.55963244487,8935.920071324686,94.5299956168659
70,998.3686195149689,9973.244950155753,99.86613515179083
80,1036.3895466473734,10771.792352724637,103.78724561681284
90,1061.0917609469889,11248.095499367753,106.05703889590616
100,1070.4548556055,11472.560803354496,107.11004062810589
