n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1353.7050742383885,18401.64989400038,135.65268111615185
10,398422.1585577989,1919996340.884098,43817.76284663673
20,751564.0177331524,6395616463.056228,79972.59820123532
30,1062586.8050593385,12346412731.175114,111114.41279678849
40,1333906.6915729002,19095905448.5191,138187.93524949672
50,1566607.3359563893,25892402119.20735,160911.16219581335
60,1761662.351756255,32797717198.46141,181101.4003216469
70,1915297.0799146574,38253994173.86914,195586.28319457665
80,2025724.5788447382,42863922090.276146,207036.04055882673
90,2100951.0847096806,45544646412.79008,213411.91722298472
100,2130910.628666534,47395320122.128784,217704.66260998818
