n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,-13.0796755870333,0.0982295729958166,0.31341597437880636
20,-12.78796076330937,0.029048832913737895,0.170437181723173
30,-12.539738098341724,0.02048360711954897,0.14312095276216186
40,-12.281166293297943,0.019550620338798806,0.13982353285051413
50,-11.994323964854308,0.03737664359349656,0.19333040007587157
60,-11.72441725234779,0.012338529775320009,0.1110789348856029
70,-11.448632500085722,0.16901032074124334,0.411108648341583
80,-11.08918078545741,0.036374421461065315,0.19072079451665808
90,-10.708358960162219,0.017185724199281882,0.1310943332081211
100,-10.328246669431342,0.015696635721251278,0.12528621520842298
